ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000001.SZ,20240304,10.45,10.5,10.32,10.33,10.49,-0.16,-1.5253,1655929.54,1719562.862
000001.SZ,20240305,10.3,10.47,10.26,10.43,10.33,0.1,0.9681,1817319.07,1889144.33
000001.SZ,20240306,10.4,10.45,10.33,10.33,10.43,-0.1,-0.9588,1345640.16,1396940.06
000001.SZ,20240307,10.33,10.64,10.33,10.38,10.33,0.05,0.484,2016165.89,2109589.237
000001.SZ,20240308,10.35,10.44,10.3,10.38,10.38,0.0,0.0,1113974.28,1154491.251
000001.SZ,20240311,10.38,10.47,10.34,10.47,10.38,0.09,0.8671,1210672.98,1260212.02
000001.SZ,20240312,10.48,10.59,10.41,10.56,10.47,0.09,0.8596,1641262.37,1721999.708
000001.SZ,20240313,10.53,10.55,10.3,10.33,10.56,-0.23,-2.178,1768039.11,1834654.994
000001.SZ,20240314,10.3,10.38,10.2,10.23,10.33,-0.1,-0.9681,1409399.73,1448499.698
000001.SZ,20240315,10.55,10.75,10.5,10.6,10.23,0.37,3.6168,3750207.89,3973799.131
000001.SZ,20240318,10.56,10.61,10.49,10.54,10.6,-0.06,-0.566,1671396.51,1761249.15
000001.SZ,20240319,10.53,10.54,10.39,10.4,10.54,-0.14,-1.3283,1293215.58,1351069.63
000001.SZ,20240320,10.38,10.47,10.37,10.45,10.4,0.05,0.4808,872663.16,910278.573
000001.SZ,20240321,10.45,10.52,10.42,10.47,10.45,0.02,0.1914,864466.25,905422.294
000001.SZ,20240322,10.45,10.45,10.31,10.36,10.47,-0.11,-1.0506,1028141.74,1065535.606
000001.SZ,20240325,10.35,10.49,10.32,10.4,10.36,0.04,0.3861,953202.21,993304.12
000001.SZ,20240326,10.45,10.66,10.42,10.6,10.4,0.2,1.9231,1740021.46,1835376.191
000001.SZ,20240327,10.56,10.63,10.51,10.53,10.6,-0.07,-0.6604,1274135.99,1347397.15
000001.SZ,20240328,10.51,10.57,10.38,10.49,10.53,-0.04,-0.3799,1302188.92,1362980.388
000001.SZ,20240329,10.45,10.57,10.43,10.52,10.49,0.03,0.286,872758.98,917332.316
000001.SZ,20240401,10.52,10.65,10.51,10.64,10.52,0.12,1.1407,1191087.96,1261770.38
000001.SZ,20240402,10.63,10.68,10.53,10.55,10.64,-0.09,-0.8459,1085458.26,1149700.8
000001.SZ,20240403,10.53,10.55,10.42,10.46,10.55,-0.09,-0.8531,981845.85,1028648.883
000001.SZ,20240408,10.42,10.49,10.37,10.43,10.46,-0.03,-0.2868,906360.52,945290.441
000001.SZ,20240409,10.43,10.47,10.36,10.4,10.43,-0.03,-0.2876,857156.73,891468.991
