ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000006.SZ,20240226,4.06,4.1,4.0,4.03,4.07,-0.04,-0.9828,207192.99,83726.446
000006.SZ,20240227,4.03,4.14,4.01,4.13,4.03,0.1,2.4814,240666.03,98421.416
000006.SZ,20240228,4.14,4.22,3.98,3.99,4.13,-0.14,-3.3898,377445.01,155580.801
000006.SZ,20240229,3.98,4.06,3.95,4.06,3.99,0.07,1.7544,240219.39,96652.996
000006.SZ,20240301,4.07,4.25,4.03,4.15,4.06,0.09,2.2167,342344.5,141795.734
000006.SZ,20240304,4.08,4.09,3.99,4.01,4.15,-0.14,-3.3735,287724.78,115600.994
000006.SZ,20240305,3.98,3.98,3.88,3.96,4.01,-0.05,-1.2469,243771.44,95715.805
000006.SZ,20240306,3.94,4.0,3.9,3.94,3.96,-0.02,-0.5051,140678.26,55466.633
000006.SZ,20240307,3.96,4.01,3.92,3.98,3.94,0.04,1.0152,180971.69,71548.287
000006.SZ,20240308,3.98,3.98,3.91,3.96,3.98,-0.02,-0.5025,130920.86,51624.499
000006.SZ,20240311,3.96,4.0,3.94,4.0,3.96,0.04,1.0101,169207.21,67177.941
000006.SZ,20240312,3.99,4.15,3.97,4.11,4.0,0.11,2.75,381827.3,155420.744
000006.SZ,20240313,4.1,4.1,3.98,4.0,4.11,-0.11,-2.6764,243749.6,97959.486
000006.SZ,20240314,4.0,4.04,3.96,4.0,4.0,0.0,0.0,170819.54,68257.287
000006.SZ,20240315,3.99,4.02,3.97,4.01,4.0,0.01,0.25,122837.94,49086.387
000006.SZ,20240318,4.01,4.03,3.97,4.02,4.01,0.01,0.2494,176801.48,70677.997
000006.SZ,20240319,4.01,4.02,3.97,3.97,4.02,-0.05,-1.2438,165889.85,66297.665
000006.SZ,20240320,3.97,3.99,3.94,3.99,3.97,0.02,0.5038,122381.0,48518.863
000006.SZ,20240321,3.98,4.04,3.97,4.0,3.99,0.01,0.2506,190908.89,76425.434
000006.SZ,20240322,4.0,4.0,3.88,3.94,4.0,-0.06,-1.5,194676.97,76600.327
000006.SZ,20240325,3.9,4.0,3.84,3.87,3.94,-0.07,-1.7766,205989.63,80458.758
000006.SZ,20240326,3.86,3.99,3.84,3.96,3.87,0.09,2.3256,218697.75,85735.351
000006.SZ,20240327,3.93,3.93,3.83,3.84,3.96,-0.12,-3.0303,181785.2,70330.721
000006.SZ,20240328,3.8,3.92,3.8,3.88,3.84,0.04,1.0417,156995.04,60922.29
000006.SZ,20240329,3.91,4.02,3.89,3.95,3.88,0.07,1.8041,194113.97,76798.746
000006.SZ,20240401,3.98,4.02,3.92,3.97,3.95,0.02,0.5063,174377.44,69189.516
000006.SZ,20240402,3.98,3.98,3.91,3.93,3.97,-0.04,-1.0076,150766.39,59391.435
000006.SZ,20240403,3.91,3.94,3.86,3.87,3.93,-0.06,-1.5267,115196.12,44758.78
000006.SZ,20240408,3.85,3.86,3.75,3.76,3.87,-0.11,-2.8424,138603.04,52716.243
000006.SZ,20240409,3.76,3.82,3.76,3.81,3.76,0.05,1.3298,88284.99,33479.838
000006.SZ,20240410,3.8,4.02,3.79,3.85,3.81,0.04,1.0499,305936.79,119627.496
000006.SZ,20240411,3.78,3.84,3.74,3.79,3.85,-0.06,-1.5584,146946.52,55604.868
000006.SZ,20240412,3.76,3.79,3.66,3.68,3.79,-0.11,-2.9024,144778.09,53716.568
000006.SZ,20240415,3.7,3.73,3.46,3.62,3.68,-0.06,-1.6304,200946.93,72299.352
000006.SZ,20240416,3.57,3.61,3.48,3.49,3.62,-0.13,-3.5912,151253.67,53441.748
000006.SZ,20240417,3.49,3.59,3.48,3.56,3.49,0.07,2.0057,128604.29,45671.175
000006.SZ,20240418,3.54,3.55,3.48,3.49,3.56,-0.07,-1.9663,113488.56,39821.934
000006.SZ,20240419,3.46,3.54,3.43,3.51,3.49,0.02,0.5731,127421.95,44504.879
000006.SZ,20240422,3.48,3.53,3.43,3.48,3.51,-0.03,-0.8547,124579.7,43479.666
000006.SZ,20240423,3.49,3.6,3.49,3.54,3.48,0.06,1.7241,136484.91,48409.528
000006.SZ,20240424,3.52,3.56,3.48,3.56,3.54,0.02,0.565,127982.01,44974.32
000006.SZ,20240425,3.53,3.61,3.52,3.54,3.56,-0.02,-0.5618,111198.0,39674.522
000006.SZ,20240426,3.55,3.67,3.48,3.67,3.54,0.13,3.6723,252647.92,90591.577
000006.SZ,20240429,3.63,3.94,3.61,3.92,3.67,0.25,6.812,389805.61,149380.161
000006.SZ,20240430,3.92,3.92,3.8,3.87,3.92,-0.05,-1.2755,211524.19,81656.224
000006.SZ,20240506,3.96,4.01,3.86,3.87,3.87,0.0,0.0,231871.86,91348.765
000006.SZ,20240507,3.88,3.95,3.79,3.9,3.87,0.03,0.7752,226595.45,87560.824
000006.SZ,20240508,3.85,3.87,3.78,3.79,3.9,-0.11,-2.8205,140796.9,53625.736
000006.SZ,20240509,3.77,3.87,3.77,3.83,3.79,0.04,1.0554,140710.17,53780.195
000006.SZ,20240510,3.82,3.96,3.8,3.94,3.83,0.11,2.8721,282856.63,110011.315
000006.SZ,20240513,3.85,3.89,3.81,3.86,3.94,-0.08,-2.0305,150486.59,57912.96
000006.SZ,20240514,3.86,3.95,3.83,3.92,3.86,0.06,1.5544,170415.05,66356.537
000006.SZ,20240515,3.93,4.02,3.89,3.96,3.92,0.04,1.0204,237764.15,94269.389
000006.SZ,20240516,3.96,4.12,3.93,4.06,3.96,0.1,2.5253,353368.1,143633.243
000006.SZ,20240517,4.12,4.33,4.03,4.32,4.06,0.26,6.4039,613342.72,255980.866
