trade_date,open,close,high,low,vol,pct_chg
20240226,12.0,12.33,12.88,11.82,108869.73,3.3529
20240227,12.5,13.56,13.56,12.4,91337.16,9.9757
20240228,14.0,12.2,14.39,12.2,209954.0,-10.0295
20240229,11.27,12.5,12.59,11.27,125162.14,2.459
20240301,12.76,12.79,13.16,12.5,115714.45,2.32
20240304,12.79,13.1,13.66,12.3,129949.0,2.4238
20240305,12.91,12.6,13.02,12.42,94931.0,-3.8168
20240306,12.37,13.86,13.86,12.34,217414.05,10.0
20240307,13.44,13.11,13.77,13.02,229505.05,-5.4113
20240308,13.11,13.26,13.5,12.7,140455.85,1.1442
20240311,13.03,13.62,13.74,12.9,133432.0,2.7149
20240312,13.52,13.65,14.0,13.3,134978.32,0.2203
20240313,13.53,13.83,14.4,13.52,165184.52,1.3187
20240314,13.6,15.21,15.21,13.51,229212.57,9.9783
20240315,15.5,15.87,16.73,14.78,374945.88,4.3393
20240318,15.02,15.62,15.88,14.82,256969.89,-1.5753
20240319,15.4,15.18,15.48,15.18,141391.72,-2.8169
20240320,15.1,15.1,15.31,14.9,102788.79,-0.527
20240321,15.13,14.88,15.21,14.81,93122.99,-1.457
20240322,15.03,14.56,15.08,14.37,93987.73,-2.1505
20240325,14.41,14.6,15.12,14.3,96941.73,0.2747
20240326,14.34,14.8,15.04,14.07,95486.72,1.3699
20240327,14.65,14.67,15.0,14.4,96874.72,-0.8784
20240328,14.64,15.45,15.5,14.43,178645.01,5.317
20240329,15.26,15.05,15.37,14.92,97259.04,-2.589
20240401,15.05,14.98,15.19,14.88,69640.29,-0.4651
20240402,15.0,14.58,15.11,14.15,87301.95,-2.6702
20240403,14.55,13.5,14.55,13.5,81062.95,-7.4074
20240408,13.52,13.25,13.79,13.2,61313.01,-1.8519
20240409,13.2,13.27,13.33,12.88,51947.0,0.1509
20240410,13.1,12.56,13.28,12.42,58559.0,-5.3504
20240411,12.49,12.69,12.92,12.39,44937.05,1.035
20240412,12.66,12.41,12.89,12.39,34558.95,-2.2065
20240415,11.18,11.17,11.91,11.17,88343.05,-9.9919
20240416,10.35,10.05,10.5,10.05,29236.0,-10.0269
20240417,9.23,10.4,10.65,9.23,82134.68,3.4826
20240418,10.5,10.5,10.7,10.1,70564.98,0.9615
20240419,10.58,10.21,10.58,10.1,43268.0,-2.7619
20240422,10.1,10.1,10.37,9.84,50789.0,-1.0774
20240423,10.11,10.26,10.42,10.11,44116.01,1.5842
20240424,10.26,10.67,10.69,10.26,52150.0,3.9961
20240425,10.7,10.71,10.86,10.6,38871.0,0.3749
20240426,10.71,10.91,11.01,10.59,48115.32,1.8674
20240429,11.0,11.34,11.36,11.0,49865.0,3.9413
20240430,10.21,10.21,10.68,10.21,131409.3,-9.9647
20240506,9.99,10.44,10.46,9.97,98854.4,2.2527
20240507,10.53,11.48,11.48,10.53,79051.09,9.9617
20240508,11.43,11.14,11.86,11.12,179655.34,-2.9617
20240509,11.15,11.18,11.6,11.15,104251.52,0.3591
20240510,11.19,10.88,11.33,10.77,78266.1,-2.6834
20240513,10.86,10.4,10.89,10.27,65258.0,-4.4118
20240514,10.55,11.44,11.44,10.55,96539.1,10.0
20240515,11.5,11.69,12.38,11.45,215641.4,2.1853
20240516,11.65,11.3,11.73,11.21,119268.0,-3.3362
20240517,11.36,11.38,11.52,11.2,89974.1,0.708
20240520,11.35,11.94,11.98,11.2,126088.0,4.9209
20240521,11.77,11.65,11.8,11.48,75205.0,-2.4288
20240522,11.56,11.6,11.77,11.43,59437.0,-0.4292
20240523,11.55,11.39,11.56,11.11,61927.0,-1.8103
20240524,11.29,11.01,11.34,11.0,46086.0,-3.3363
20240527,11.02,10.92,11.1,10.63,45552.0,-0.8174
20240528,10.92,10.68,10.98,10.66,33138.0,-2.1978
