trade_date,open,close,high,low,vol,pct_chg
20220627,4.5,4.61,4.68,4.44,468974.79,1.9912
20220628,4.61,4.57,4.65,4.53,332493.77,-0.8677
20220629,4.54,4.78,4.82,4.53,747493.05,4.5952
20220630,4.7,4.71,4.78,4.6,435887.65,-1.4644
20220701,4.69,4.61,4.84,4.6,297975.71,-2.1231
20220704,4.55,4.5,4.61,4.49,241381.8,-2.3861
20220705,4.5,4.52,4.56,4.45,157587.09,0.4444
20220706,4.51,4.43,4.52,4.41,143971.91,-1.9912
20220707,4.44,4.46,4.49,4.42,105820.24,0.6772
20220708,4.46,4.41,4.52,4.41,132581.23,-1.1211
20220711,4.41,4.38,4.45,4.35,157252.35,-0.6803
20220712,4.36,4.38,4.41,4.35,88422.01,0.0
20220713,4.38,4.42,4.49,4.38,157962.57,0.9132
20220714,4.38,4.3,4.41,4.28,153552.94,-2.7149
20220715,4.3,4.15,4.3,4.15,165872.15,-3.4884
20220718,4.15,4.25,4.26,4.15,107773.21,2.4096
20220719,4.28,4.25,4.3,4.22,88098.94,0.0
20220720,4.25,4.24,4.28,4.23,83176.73,-0.2353
20220721,4.24,4.22,4.26,4.2,93019.67,-0.4717
20220722,4.23,4.2,4.24,4.17,67006.01,-0.4739
20220725,4.2,4.18,4.26,4.17,108177.0,-0.4762
20220726,4.18,4.29,4.3,4.16,155196.82,2.6316
20220727,4.27,4.23,4.28,4.21,95671.08,-1.3986
20220728,4.24,4.27,4.31,4.23,106090.32,0.9456
20220729,4.29,4.22,4.3,4.21,87475.0,-1.171
20220801,4.22,4.19,4.23,4.18,61692.8,-0.7109
20220802,4.18,4.05,4.18,4.0,144001.53,-3.3413
20220803,4.05,4.0,4.11,3.99,95119.19,-1.2346
20220804,4.02,4.04,4.06,3.99,59138.1,1.0
20220805,4.04,4.09,4.09,4.03,60214.33,1.2376
20220808,4.09,4.09,4.16,4.08,68216.3,0.0
20220809,4.1,4.08,4.11,4.05,60701.01,-0.2445
20220810,4.07,4.04,4.07,4.03,62043.93,-0.9804
20220811,4.05,4.11,4.12,4.05,70913.08,1.7327
20220812,4.11,4.13,4.14,4.09,63306.39,0.4866
20220815,4.12,4.09,4.14,4.08,59799.68,-0.9685
20220816,4.09,4.16,4.18,4.09,129715.71,1.7115
20220817,4.15,4.17,4.18,4.12,93214.16,0.2404
20220818,4.16,4.1,4.17,4.08,85119.38,-1.6787
20220819,4.11,4.13,4.18,4.09,87327.25,0.7317
20220822,4.15,4.15,4.2,4.11,81301.86,0.4843
20220823,4.16,4.15,4.17,4.11,65660.86,0.0
20220824,4.15,4.12,4.17,4.09,108944.82,-0.7229
20220825,4.17,4.23,4.33,4.14,250232.88,2.6699
20220826,4.18,4.2,4.25,4.16,136112.68,-0.7092
20220829,4.15,4.2,4.21,4.1,81445.0,0.0
20220830,4.19,4.25,4.29,4.17,110487.15,1.1905
20220831,4.23,4.21,4.32,4.2,137117.03,-0.9412
20220901,4.25,4.31,4.38,4.21,252778.82,2.3753
20220902,4.29,4.33,4.34,4.27,115604.21,0.464
20220905,4.32,4.39,4.41,4.3,173686.53,1.3857
20220906,4.4,4.47,4.51,4.39,210036.16,1.8223
20220907,4.45,4.48,4.49,4.4,143350.16,0.2237
20220908,4.48,4.48,4.58,4.42,136129.26,0.0
20220909,4.43,4.49,4.54,4.43,223357.1,0.2232
20220913,4.49,4.43,4.49,4.4,155779.59,-1.3363
20220914,4.38,4.42,4.49,4.38,142444.0,-0.2257
20220915,4.45,4.47,4.52,4.37,231985.28,1.1312
20220916,4.44,4.3,4.49,4.28,243444.19,-3.8031
20220919,4.3,4.31,4.34,4.22,137274.1,0.2326
20220920,4.33,4.31,4.43,4.29,146415.79,0.0
20220921,4.3,4.44,4.46,4.23,162098.38,3.0162
20220922,4.41,4.34,4.47,4.33,133527.04,-2.2523
20220923,4.35,4.36,4.47,4.33,149218.04,0.4608
20220926,4.32,4.24,4.42,4.23,126062.03,-2.7523
20220927,4.26,4.3,4.31,4.14,122084.97,1.4151
20220928,4.3,4.17,4.31,4.17,89313.69,-3.0233
20220929,4.21,4.08,4.22,4.07,93385.65,-2.1583
20220930,4.1,4.13,4.27,4.07,112324.82,1.2255
20221010,4.12,4.15,4.24,4.12,112951.92,0.4843
20221011,4.14,4.12,4.19,4.05,100333.0,-0.7229
20221012,4.13,4.2,4.22,4.08,97701.88,1.9417
20221013,4.19,4.13,4.19,4.08,129422.41,-1.6667
20221014,4.15,4.18,4.25,4.13,113898.0,1.2107
20221017,4.15,4.2,4.23,4.1,105701.01,0.4785
20221018,4.2,4.19,4.24,4.17,84161.71,-0.2381
20221019,4.19,4.15,4.22,4.14,67339.0,-0.9547
20221020,4.15,4.1,4.17,4.09,89266.94,-1.2048
20221021,4.13,4.09,4.17,4.09,77876.01,-0.2439
20221024,4.1,3.97,4.12,3.96,146997.0,-2.934
20221025,3.97,3.95,4.01,3.92,77162.17,-0.5038
20221026,3.96,3.99,4.02,3.95,76645.0,1.0127
20221027,3.96,4.05,4.07,3.96,102032.95,1.5038
20221028,4.0,3.78,4.0,3.78,227684.95,-6.6667
20221031,3.75,3.66,3.79,3.64,147655.69,-3.1746
20221101,3.68,3.72,3.75,3.67,111370.38,1.6393
20221102,3.72,3.77,3.8,3.66,117932.91,1.3441
20221103,3.75,3.74,3.8,3.73,82524.0,-0.7958
20221104,3.75,3.82,3.83,3.73,89775.0,2.139
20221107,3.8,3.86,3.89,3.8,108164.24,1.0471
20221108,3.87,3.88,3.91,3.84,91198.53,0.5181
20221109,3.89,3.9,3.97,3.88,109866.81,0.5155
20221110,3.87,3.9,3.92,3.84,70108.07,0.0
20221111,3.98,4.06,4.13,3.95,246891.22,4.1026
20221114,4.17,4.15,4.2,4.08,275171.41,2.2167
20221115,4.14,4.21,4.24,4.11,171916.92,1.4458
20221116,4.2,4.14,4.23,4.13,129943.24,-1.6627
20221117,4.19,4.16,4.21,4.13,123167.82,0.4831
20221118,4.15,4.14,4.22,4.12,127484.0,-0.4808
20221121,4.13,4.1,4.13,4.01,98717.77,-0.9662
20221122,4.15,4.08,4.19,4.05,105472.73,-0.4878
20221123,4.09,4.16,4.17,4.08,117658.0,1.9608
20221124,4.23,4.2,4.33,4.16,232413.71,0.9615
20221125,4.28,4.39,4.44,4.25,564394.6,4.5238
20221128,4.32,4.83,4.83,4.11,663963.77,10.0228
20221129,5.31,5.31,5.31,5.02,1512423.07,9.9379
20221130,5.52,5.84,5.84,5.4,2488000.94,9.9812
20221201,6.42,6.42,6.42,6.28,894402.78,9.9315
20221202,7.06,6.77,7.06,6.55,3471446.28,5.4517
20221205,7.2,6.26,7.45,6.22,3907593.45,-7.5332
20221206,6.03,5.65,6.17,5.63,2811834.15,-9.7444
20221207,5.45,5.31,5.52,5.27,2099633.73,-6.0177
20221208,5.27,5.29,5.43,5.27,1485010.28,-0.3766
20221209,5.26,5.45,5.55,5.26,1675211.57,3.0246
20221212,5.35,5.28,5.46,5.25,1109329.62,-3.1193
20221213,5.28,5.41,5.53,5.26,1199854.09,2.4621
20221214,5.34,5.36,5.39,5.25,791822.8,-0.9242
20221215,5.32,5.49,5.49,5.21,1127782.43,2.4254
20221216,5.58,5.63,5.84,5.36,2175654.93,2.5501
20221219,5.47,6.19,6.19,5.43,2118023.43,9.9467
20221220,5.9,5.57,5.9,5.57,1423025.39,-10.0162
20221221,5.46,5.61,5.75,5.33,1151954.26,0.7181
20221222,5.85,5.6,6.03,5.6,1272113.66,-0.1783
20221223,5.5,5.91,6.05,5.5,1542071.29,5.5357
20221226,5.69,6.04,6.18,5.65,1502166.93,2.1997
20221227,6.0,6.64,6.64,5.96,2469265.08,9.9338
20221228,6.47,6.81,7.17,6.4,2646897.32,2.5602
20221229,6.6,6.13,6.65,6.13,2067778.94,-9.9853
20221230,6.29,6.3,6.46,6.21,1280164.06,2.7732
20230103,6.2,6.12,6.26,5.98,1066476.7,-2.8571
20230104,6.12,6.16,6.43,6.02,1375250.5,0.6536
20230105,6.12,5.92,6.16,5.88,1137287.08,-3.8961
20230106,6.06,5.74,6.09,5.71,899284.67,-3.0405
20230109,5.66,5.7,5.79,5.64,596252.84,-0.6969
20230110,5.69,5.62,5.7,5.57,541389.77,-1.4035
20230111,5.67,5.67,5.73,5.61,611498.94,0.8897
20230112,5.61,5.54,5.65,5.48,464730.61,-2.2928
20230113,5.56,5.52,5.56,5.42,403604.11,-0.361
20230116,5.45,5.4,5.49,5.38,479653.56,-2.1739
20230117,5.39,5.37,5.45,5.34,445884.04,-0.5556
20230118,5.47,5.37,5.47,5.35,285408.56,0.0
20230119,5.32,5.36,5.43,5.3,336662.92,-0.1862
20230120,5.39,5.55,5.55,5.36,490387.7,3.5448
20230130,5.63,5.58,5.64,5.5,462611.82,0.5405
20230131,5.54,5.64,5.64,5.43,447188.01,1.0753
20230201,5.64,5.58,5.64,5.51,438520.16,-1.0638
20230202,5.51,5.53,5.62,5.42,586403.75,-0.8961
20230203,5.51,5.47,5.55,5.42,317678.79,-1.085
20230206,5.43,5.39,5.49,5.39,280322.43,-1.4625
20230207,5.39,5.42,5.5,5.37,377659.51,0.5566
20230208,5.39,5.47,5.54,5.38,457298.22,0.9225
20230209,5.43,5.59,5.62,5.38,534171.39,2.1938
20230210,5.59,5.86,5.86,5.55,969340.48,4.8301
20230213,5.86,5.76,5.86,5.61,659528.82,-1.7065
20230214,5.75,5.72,5.85,5.69,439744.8,-0.6944
20230215,5.72,5.57,5.72,5.56,467679.13,-2.6224
20230216,5.57,5.34,5.63,5.3,520517.55,-4.1293
20230217,5.34,5.36,5.39,5.31,317212.83,0.3745
20230220,5.36,5.37,5.37,5.22,295644.79,0.1866
20230221,5.48,5.82,5.91,5.46,1490447.45,8.3799
20230222,5.83,6.07,6.15,5.64,1579957.89,4.2955
20230223,5.98,5.94,6.12,5.9,932828.13,-2.1417
20230224,5.91,5.88,5.98,5.79,546662.58,-1.0101
20230227,5.92,5.72,5.97,5.69,533276.23,-2.7211
20230228,5.74,5.73,5.75,5.62,402411.29,0.1748
20230301,5.68,5.77,5.79,5.64,408148.28,0.6981
20230302,5.75,5.71,5.75,5.66,342375.69,-1.0399
20230303,5.68,5.87,5.91,5.68,620998.8,2.8021
20230306,5.8,5.65,5.82,5.63,474718.66,-3.7479
20230307,5.66,5.51,5.68,5.5,372563.61,-2.4779
20230308,5.51,5.56,5.56,5.47,179313.11,0.9074
20230309,5.56,5.54,5.57,5.46,193809.19,-0.3597
20230310,5.48,5.65,5.78,5.36,565038.07,1.9856
20230313,5.5,5.46,5.56,5.42,310807.41,-3.3628
20230314,5.42,5.35,5.44,5.31,249745.43,-2.0147
20230315,5.35,5.38,5.42,5.35,165446.98,0.5607
