trade_date,open,close,high,low,vol,pct_chg
20240219,10.09,9.84,10.1,9.67,1356869.73,-2.1869
20240220,9.9,9.9,10.02,9.78,908515.87,0.6098
20240221,9.78,10.21,10.49,9.69,1834888.83,3.1313
20240222,10.12,10.15,10.24,10.04,923216.68,-0.5877
20240223,10.16,10.2,10.25,10.11,945694.9,0.4926
20240226,10.17,9.98,10.19,9.95,1105922.9,-2.1569
20240227,9.94,10.06,10.07,9.9,838920.0,0.8016
20240228,10.06,9.93,10.16,9.93,1232697.38,-1.2922
20240229,9.85,10.04,10.04,9.84,1113841.38,1.1078
20240301,9.99,9.89,10.01,9.82,1092651.77,-1.494
20240304,9.7,9.43,9.7,9.38,2014191.0,-4.6512
20240305,9.32,9.48,9.49,9.2,1605444.46,0.5302
20240306,9.39,9.33,9.45,9.27,1038601.59,-1.5823
20240307,9.31,9.21,9.37,9.21,1046596.41,-1.2862
20240308,9.21,9.18,9.24,9.09,1007474.63,-0.3257
20240311,9.29,9.46,9.46,9.23,1556540.21,3.0501
20240312,9.4,10.0,10.2,9.36,3324020.87,5.7082
20240313,9.83,9.69,9.87,9.66,1935996.84,-3.1
20240314,9.64,9.71,9.86,9.6,1381990.38,0.2064
20240315,9.62,9.47,9.71,9.4,1446176.8,-2.4717
20240318,9.46,9.44,9.46,9.32,1138585.37,-0.3168
20240319,9.39,9.33,9.43,9.32,962478.35,-1.1653
20240320,9.3,9.36,9.38,9.26,732955.06,0.3215
20240321,9.36,9.4,9.52,9.34,1157672.13,0.4274
20240322,9.36,9.26,9.37,9.17,1031186.06,-1.4894
20240325,9.28,9.34,9.49,9.18,1209347.52,0.8639
20240326,9.33,9.46,9.52,9.3,1177543.96,1.2848
20240327,9.42,9.21,9.43,9.2,915095.35,-2.6427
20240328,9.18,9.24,9.32,9.17,671161.32,0.3257
20240329,8.96,9.0,9.1,8.89,1481694.76,-2.5974
20240401,8.94,8.98,9.12,8.92,1438313.61,-0.2222
20240402,8.9,8.5,8.91,8.45,2930946.04,-5.3452
20240403,8.4,8.19,8.43,8.19,1959391.09,-3.6471
20240408,8.05,8.0,8.1,7.98,1520376.31,-2.3199
20240409,8.0,7.99,8.06,7.92,1091805.7,-0.125
20240410,7.98,7.58,7.98,7.48,2471998.85,-5.1314
20240411,7.42,7.44,7.51,7.31,1750991.64,-1.847
20240412,7.36,7.1,7.43,7.09,2352432.94,-4.5699
20240415,7.02,7.14,7.3,7.0,1789182.81,0.5634
20240416,7.09,7.07,7.25,6.91,2156642.13,-0.9804
20240417,7.05,7.1,7.21,7.02,2431274.05,0.4243
20240418,7.02,6.88,7.05,6.87,3068855.07,-3.0986
20240419,6.78,6.7,6.85,6.67,2253928.78,-2.6163
20240422,6.67,6.69,6.85,6.63,1838418.93,-0.1493
20240423,6.7,6.57,6.72,6.54,1794209.81,-1.7937
20240424,6.59,6.54,6.61,6.48,1570540.69,-0.4566
20240425,6.5,6.55,6.68,6.48,1921764.43,0.1529
20240426,6.56,6.87,6.88,6.45,4055360.7,4.8855
20240429,6.77,7.56,7.56,6.76,4944659.59,10.0437
20240430,7.7,7.41,7.79,7.35,6307974.85,-1.9841
20240506,7.63,7.46,7.88,7.44,5244937.88,0.6748
20240507,7.36,7.52,7.68,7.32,4190289.12,0.8043
20240508,7.45,7.2,7.49,7.19,2758773.45,-4.2553
20240509,7.24,7.3,7.51,7.18,3258851.2,1.3889
20240510,7.4,7.56,7.65,7.32,4441031.39,3.5616
20240513,7.43,7.42,7.49,7.33,2291684.61,-1.8519
20240514,7.42,7.46,7.56,7.38,2287682.82,0.5391
20240515,7.41,7.73,7.98,7.39,4910563.23,3.6193
20240516,7.7,8.18,8.34,7.69,6635870.18,5.8215
20240517,8.33,9.0,9.0,8.0,9247184.12,10.0244
20240520,9.0,9.18,9.45,8.8,8809696.18,2.0
20240521,9.0,9.19,9.33,8.93,4708288.34,0.1089
20240522,9.24,9.4,9.92,9.11,7193790.05,2.2851
20240523,9.23,9.56,9.56,9.1,6062271.45,1.7021
20240524,9.29,8.99,9.36,8.94,4808105.64,-5.9623
